"reference_no","record_type","ref_type","author1init","author1last","author2init","author2last","otherauthors","pubyr","reftitle","pubtitle","editors","publisher","pubcity","pubvol","pubno","firstpage","lastpage","publication_type","language","doi"
10443,"ref","occ","G.S","Odin","P","Courville","M Machalski, W.A Cobban",2001,"The Campanian-Maastrichtian ammonite fauna from Tercis (Landes, France); a synthetic view","Developments in Palaeontology and Stratigraphy",NA,NA,NA,"19",NA,"550","567","book/book chapter",NA,NA
40905,"ref","occ","D. C.","Parris","B. S.","Grandstaff","W. B. Gallagher",2007,"Fossil fish from the Pierre Shale Group (Late Cretaceous): Clarifying the biostratigraphic record","Geological Society of America Special Papers",NA,NA,NA,"427",NA,"99","109","journal article","English","10.1130/2007.2427(07)"
65782,"ref","occ","A.","Paulina Carabajal","R. A.","Coria","P. J. Currie, E. B. Koppelhus",2018,"A natural cranial endocast with possible dicraeosaurid (Sauropoda, Diplodocoidea) affinities from the Lower Cretaceous of Patagonia","Cretaceous Research",NA,NA,NA,"84",NA,"437","441","journal article","English",NA
33025,"ref","occ","X.","Pereda-Suberbiola","J. I.","Canudo","J. Company, P. Cruzado-Caballero, J. I. Ruiz-Omenaca",2009,"Hadrosauroid dinosaurs from the Latest Cretaceous of the Iberian Peninsula","Journal of Vertebrate Paleontology",NA,NA,NA,"29","3","946","951","journal article","English",NA
4427,"ref","occ","E.","Peri","A.","Collareta","G. Insacco, G. Bianucci",2019,"An Inticetus-like (Cetacea: Odontoceti) postcanine tooth from the Pietra leccese (Miocene, southeastern Italy) and its palaeobiogeographical implications","Neues Jahrbuch fÃ¼r Geologie und PalÃ¤ontologie - Abhandlungen",NA,NA,NA,"291","2","221","228","journal article","English","10.1127/njgpa/2019/0799"
10788,"ref","occ","G. V. R.","Prasad","J. C.","Rage",NA,1991,"A discoglossid frog in the latest Cretaceous (Maastrichtian) of India. Further evidence for a terrestrial route between India and Laurasia in the latest Cretaceous","Comptes Rendus de l'Academie des Sciences, SÃ©rie II, Mecanique, Physique, Chimie, Sciences de l'Univers, Sciences de la Terre",NA,NA,NA,"313","2","273","278","journal article","English",NA
37086,"ref","occ","J.","Prokop","A.","Nel",NA,2004,"A new genus and species of Homoiopteridae from the Upper Carboniferous of the Intra-Sudetic basin, Czech Republic (Insecta: Palaeodictyoptera)","European Journal of Entomology",NA,NA,NA,"101",NA,"583","589","journal article","English",NA
70767,"ref","occ","M. A.","Safer","M. C.","Chabou","M. Y. Laghouag",2011,"Amoura (Djebel Bou Kahil, AlgÃ©rie): un site d'intÃ©rÃªt patrimonial majeur [Amoura (Djebel Bou Kahil, Algeria): a site of major patrimonial interest]","Le colloque Â«Magmatisme, MÃ©tamorphisme et MinÃ©ralisations AssociÃ©es (3MA)",NA,NA,NA,NA,NA,"220",NA,"abstract","English",NA
49224,"ref","occ","D. R.","Schwimmer","G. E.","Hooks","B. Johnson",2002,"Revised taxonomy, age, and geographic range of the large lamniform shark Cretodus semiplicatus","Journal of Vertebrate Paleontology",NA,NA,NA,"22","3","704","707","journal article","English","10.1671/0272-4634(2002)022[0704:RTAAGR]2.0.CO;2"
64867,"ref","occ","M.","Sharma","Y.","Shukla",NA,2009,"Mesoproterozoic coiled megascopic fossil Grypania spiralis from the Rohtas Formation, Semri Group, Bihar, India","Current Science",NA,NA,NA,"96","12","1636","1640","journal article","English",NA
50320,"ref","occ","P. P.","Skutschas","I. G.","Danilov","T. M. Kodrul, J. Jin",2014,"The first discovery of an alligatorid (Crocodylia, Alligatoroidea, Alligatoridae) in the Eocene of China","Journal of Vertebrate Paleontology",NA,NA,NA,"34","2","471","476","journal article","English",NA
60309,"ref","occ","T.","Smith","V.","Codrea",NA,2015,"Red iron-pigmented tooth enamel in a multituberculate mammal from the Late Cretaceous Transylvanian ""Hateg Island""","PLoS ONE",NA,NA,NA,"10","7","1","16","journal article","English","10.1371/journal.pone.0132550"
27875,"ref","occ","T.","Sulej",NA,NA,NA,2007,"Osteology, variability, and evolution of Metoposaurus, a temnospondyl from the Late Triassic of Poland","Palaeontologia Polonica",NA,NA,NA,"64",NA,"29","139","journal article","English",NA
14805,"ref","occ","D.","Suzuki","H.","Saegusa","H. Furutani",2005,"Newly found hadrosaurid fossil co-producing broadleaf fossils from Sumoto, west central Japan","Journal of Vertebrate Paleontology",NA,NA,NA,"25","3, suppl.","120A",NA,"abstract","English",NA
49882,"ref","occ","T.","Tsuihiji","R.","Barsbold","M. Watanabe, K. Tsogbataar, T. Chinzorig, Y. Fujiyama, S. Suzuki",2014,"An exquisitely preserved troodontid theropod with new information on the palatal structure from the Upper Cretaceous of Mongolia","Naturwissenschaften",NA,NA,NA,NA,NA,NA,NA,"journal article","English","10.1007/s00114-014-1143-9"
43012,"ref","occ","F.","Vega","N.","Bruce","L. Serrano, G. A. Bishop, and M. del Carmen Perrillat",2005,"A rewiew of the Lower Cretaceous (Tlayua Formation: Albian) Crustacea from Tepexi de Rodrigues, Puebla, Central Mexico","Bulletin of the Mizunami Fossil Museum",NA,NA,NA,NA,"32","25","30","journal article","English",NA
54093,"ref","occ","M.","Wang","D.","Liu",NA,2015,"Taxonomical reappraisal of Cathayornithidae (Aves: Enantiornithes)","Journal of Systematic Palaeontology",NA,NA,NA,NA,NA,NA,NA,"journal article","English","http://dx.doi.org/10.1080/14772019.2014.994087"
51033,"ref","occ","H. M.","Wilson",NA,NA,NA,2005,"A new genus of archipolypodan millipede from the Coseley LagerstÃ¤tte, Upper Carboniferous, UK","Palaeontology",NA,NA,NA,"48",NA,"1097","1100","journal article","English",NA
48389,"ref","occ","D. A.","Winkler","M. J.","Polcyn","L. L. Jacobs",2013,"New sauropod dinosaur material from Jones Ranch: a large Comanchean nonmammalian tetrapod from texas","Earth and Environmental Science Transactions of the Royal Society of Edinburgh",NA,NA,NA,"103",NA,"1","11","journal article","English",NA
59775,"ref","occ","S.","Zhu","M.","Zhu","A. H. Knoll, Z. Yin, F. Zhao, S. Sun, Y. Qu, M. Shi, H. Liu",2016,"Decimetre-scale multicellular eukaryotes from the 1.56-billion-year-old Gaoyuzhuang Formation in North China","Nature Communications",NA,NA,NA,NA,NA,NA,NA,"journal article","English","10.1038/ncomms11500"
47303,"ref","occ","A. E.","Zurita","A. A.","Carlini","D. Gillette, R. Sanchez",2011,"Late Pliocene Glyptodontinae (Xenarthra, Cingulata, Glyptodontidae) of South and North America: Morphology and paleobiogeographical implications in the GABI","Journal of South American Earth Siences",NA,NA,NA,"31","43892","178","185","journal article","English",NA
73073,"ref","occ","C. D.","Sumrall","C. E.","Brett","T. A. Dexter, A. Bartholomew",2009,"An enigmatic blastozoan echinoderm fauna from central Kentucky","Journal of Paleontology","","","","83","5","739","749","journal article","English","10.1666/08-104.1"
