"","reference_no","pubyr","author1last","author2last","reftitle","doi","publication_type","complete_aff","grid_code","samp_country","aff_country1","aff_country2","aff_country3","aff_country4","aff_country5","aff_country6","aff_country7","aff_country8","aff_country9","aff_country10","aff_country11","aff_country12","aff_country13","aff_country14","aff_country15","aff_country16"
"9","71566",2020,"Agiadi","","The fossil otolith record of fishes (Vertebrata: Teleostei) in Greece","","book chapter",NA,"","Greece","Unknown","","","","","","","","","","","","","","",""
"103","73036",2020,"Carpenter","Parris","An additional bird fossil from the Fisher/Sullivan site, Eocene of Virginia, U.S.A","","journal article",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"104","14199",2020,"Carrano","","Taxonomic opinions on the Dinosauria","","",NA,"","Argentina","Unknown","","","","","","","","","","","","","","",""
"105","14199",2020,"Carrano","","Taxonomic opinions on the Dinosauria","","",NA,"","antarctica","Unknown","","","","","","","","","","","","","","",""
"106","14199",2020,"Carrano","","Taxonomic opinions on the Dinosauria","","",NA,"","China","Unknown","","","","","","","","","","","","","","",""
"107","14199",2020,"Carrano","","Taxonomic opinions on the Dinosauria","","",NA,"","France","Unknown","","","","","","","","","","","","","","",""
"108","14199",2020,"Carrano","","Taxonomic opinions on the Dinosauria","","",NA,"","India","Unknown","","","","","","","","","","","","","","",""
"109","14199",2020,"Carrano","","Taxonomic opinions on the Dinosauria","","",NA,"","Iran","Unknown","","","","","","","","","","","","","","",""
"110","14199",2020,"Carrano","","Taxonomic opinions on the Dinosauria","","",NA,"","Italy","Unknown","","","","","","","","","","","","","","",""
"111","14199",2020,"Carrano","","Taxonomic opinions on the Dinosauria","","",NA,"","Morocco","Unknown","","","","","","","","","","","","","","",""
"112","14199",2020,"Carrano","","Taxonomic opinions on the Dinosauria","","",NA,"","South Africa","Unknown","","","","","","","","","","","","","","",""
"113","14199",2020,"Carrano","","Taxonomic opinions on the Dinosauria","","",NA,"","Spain","Unknown","","","","","","","","","","","","","","",""
"114","14199",2020,"Carrano","","Taxonomic opinions on the Dinosauria","","",NA,"","Switzerland","Unknown","","","","","","","","","","","","","","",""
"115","14199",2020,"Carrano","","Taxonomic opinions on the Dinosauria","","",NA,"","United Kingdom","Unknown","","","","","","","","","","","","","","",""
"116","14199",2020,"Carrano","","Taxonomic opinions on the Dinosauria","","",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"179","72872",2020,"Ducrocq","","Taxonomic revision of Anthracokeryx thailandicus Ducrocq, 1999 (Anthracotheriidae, Microbunodontinae) from the Upper Eocene of Thailand","10.19615/j.cnki.1000-3118.200618","journal article",NA,"","Thailand","Unknown","","","","","","","","","","","","","","",""
"255","63217",2020,"Hendy","","Unpublished taxonomic backbone for Eastern Pacific Invertebrate Communities of the Cenozoic (EPICC) Thematic Collections Network","","",NA,"","Ecuador","Unknown","","","","","","","","","","","","","","",""
"256","63217",2020,"Hendy","","Unpublished taxonomic backbone for Eastern Pacific Invertebrate Communities of the Cenozoic (EPICC) Thematic Collections Network","","",NA,"","Mexico","Unknown","","","","","","","","","","","","","","",""
"257","63217",2020,"Hendy","","Unpublished taxonomic backbone for Eastern Pacific Invertebrate Communities of the Cenozoic (EPICC) Thematic Collections Network","","",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"362","74137",2020,"Lofgren","Hutchison","Review of Paleogene vertebrates and invertebrates from the Goler Formation of California and their biostratigraphic and paleogeographic significance","","journal article",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"390","73546",2020,"Manzuetti","Ubilla","The pampas fox Lycalopex gymnocercus (Fischer, 1814) (Carnivora, Canidae) in the late Pleistocene of northern Uruguay","10.5710/AMGH.18.08.2020.3369","journal article",NA,"","Uruguay","Unknown","","","","","","","","","","","","","","",""
"402","74099",2020,"McLeod","","A fossil right whale from the Late Miocene Marine diatomites near Lompoc, Santa Barbara County, California, U.S.A.","","abstract",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"417","75004",2020,"Muona","","The late Cretaceous amber Eucnemidae fossils from Myanmar","","journal article","Unknown","","Myanmar (Burma)","Unknown","","","","","","","","","","","","","","",""
"500","73837",2020,"Rauhut","Schwermann","The oldest record of the genus Torvosaurus (Theropoda: Megalosauridae) from the Callovian Ornatenton Formation of north-western Germany","","journal article",NA,"","Germany","Unknown","","","","","","","","","","","","","","",""
"505","74134",2020,"Reynolds","","Two fossil accumulations in the Upper Barstow Formation, Mud Hills, Mojave Desert, CA","","journal article",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"523","72977",2020,"Sadowski","Callahan","A large longirostrine crocodylian from the Paleocene Vincentown Formation in Burlington County, New Jersey and associated invertebrate fauna","","journal article","","","United States","Unknown","","","","","","","","","","","","","","",""
"570","71994",2020,"Sterli","Vlachos","The diversity of the fossil record of turtles (Testudinidata) from Chubut province (Argentina) and its significance in understanding the evolution of turtles in Argentina and South America","in prep","",NA,"","Argentina","Unknown","","","","","","","","","","","","","","",""
"613","72902",2020,"van Vliet","Bosselaers","Eocene cetaceans from the Helmstedt region, Germany, with some remarks on Platyosphys, Basilotritus and Pachycetus","","journal article",NA,"","Germany","Unknown","","","","","","","","","","","","","","",""
"614","72902",2020,"van Vliet","Bosselaers","Eocene cetaceans from the Helmstedt region, Germany, with some remarks on Platyosphys, Basilotritus and Pachycetus","","journal article",NA,"","Peru","Unknown","","","","","","","","","","","","","","",""
"621","73547",2020,"Vezzosi","Rotti","â€˜A very lazy deerâ€™: revision of the cotype of Nothropus carcaranensis (Mammalia, Xenarthra)","10.5710/AMGH.30.07.2020.3368","journal article",NA,"","Argentina","Unknown","","","","","","","","","","","","","","",""
"630","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","","Department of Geoscience, University of Calgary, Calgary, AB, T2N 1N4, Canada","","Argentina","Unknown","","","","","","","","","","","","","","",""
"631","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","","","","antarctica","Unknown","","","","","","","","","","","","","","",""
"632","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","","b","","Australia","Unknown","","","","","","","","","","","","","","",""
"633","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","","Royal Tyrrell Museum of Palaeontology, Drumheller, AB, T0J 0Y0, Canada","","Austria","Unknown","","","","","","","","","","","","","","",""
"634","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Brazil","Unknown","","","","","","","","","","","","","","",""
"635","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Canada","Unknown","","","","","","","","","","","","","","",""
"636","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Chile","Unknown","","","","","","","","","","","","","","",""
"637","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","China","Unknown","","","","","","","","","","","","","","",""
"638","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Czechia","Unknown","","","","","","","","","","","","","","",""
"639","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Estonia","Unknown","","","","","","","","","","","","","","",""
"640","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","France","Unknown","","","","","","","","","","","","","","",""
"641","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Germany","Unknown","","","","","","","","","","","","","","",""
"642","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Ghana","Unknown","","","","","","","","","","","","","","",""
"643","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Greenland","Unknown","","","","","","","","","","","","","","",""
"644","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","India","Unknown","","","","","","","","","","","","","","",""
"645","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Ireland","Unknown","","","","","","","","","","","","","","",""
"646","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Italy","Unknown","","","","","","","","","","","","","","",""
"647","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Japan","Unknown","","","","","","","","","","","","","","",""
"648","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Kazakhstan","Unknown","","","","","","","","","","","","","","",""
"649","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Libya","Unknown","","","","","","","","","","","","","","",""
"650","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Lithuania","Unknown","","","","","","","","","","","","","","",""
"651","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Malaysia","Unknown","","","","","","","","","","","","","","",""
"652","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Mexico","Unknown","","","","","","","","","","","","","","",""
"653","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Mongolia","Unknown","","","","","","","","","","","","","","",""
"654","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Morocco","Unknown","","","","","","","","","","","","","","",""
"655","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","New Zealand","Unknown","","","","","","","","","","","","","","",""
"656","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","North Korea","Unknown","","","","","","","","","","","","","","",""
"657","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Norway","Unknown","","","","","","","","","","","","","","",""
"658","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Paraguay","Unknown","","","","","","","","","","","","","","",""
"659","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Poland","Unknown","","","","","","","","","","","","","","",""
"660","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Russia","Unknown","","","","","","","","","","","","","","",""
"661","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Spain","Unknown","","","","","","","","","","","","","","",""
"662","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Sweden","Unknown","","","","","","","","","","","","","","",""
"663","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Tunisia","Unknown","","","","","","","","","","","","","","",""
"664","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Ukraine","Unknown","","","","","","","","","","","","","","",""
"665","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","United Kingdom","Unknown","","","","","","","","","","","","","","",""
"666","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"667","9042",2020,"Wagner","","Paleozoic Gastropod, Rostroconch, Helcionelloid and Tergomyan Database (2006 - 2020)","","",NA,"","Venezuela","Unknown","","","","","","","","","","","","","","",""
"706","74469",2020,"Zalmout","Mustafa","Marine mammals (Cetacea and Sirenia) from the middle and late Eocene of Jordan","10.1127/njgpa/2020/0938","journal article",NA,"","Jordan","Unknown","","","","","","","","","","","","","","",""
"785","70517",2019,"Becerra","Casal","New fossil remains from the Lago Colhue Huari Formation (Coniacian-Maastrichtian): increasing the record of vertebrate diversity and the paleoecological knowledge for the Late Cretaceous of Patagonia","","abstract",NA,"","Argentina","Unknown","","","","","","","","","","","","","","",""
"900","70672",2019,"Elboudali","Zouhri","First evidence of marine Oligocene in the Tarfaya-Laayoune-Dakhla Basin (Moroccan Sahara)","","journal article",NA,"","Western Sahara","Unknown","","","","","","","","","","","","","","",""
"1121","74860",2019,"Miao","Wang","A new species of hell ants (Hymenoptera: Formicidae: Haidomyrmecini) from the Cretaceous Burmese amber","j.issn.1001-6600.2019.02.017","journal article","Unknown","","Myanmar (Burma)","Unknown","","","","","","","","","","","","","","",""
"1254","71796",2019,"Shi","Zhang","An unusual new genus and species of beaded lacewings (Neuroptera: Berothidae) from the mid-Cretaceous Burmese amber","10.11646/palaeoentomology.2.5.9","journal article",NA,"","Myanmar (Burma)","Unknown","","","","","","","","","","","","","","",""
"1306","70436",2019,"Van Viersen","Magrean","Radiaspis taghonorum sp. nov. (Trilobita, Odontopleuridae) from the Middle Devonian Hanonet Formation in Resteigne, southern Belgium","10.1127/njgpa/2019/0841","journal article",NA,"","Belgium","Unknown","","","","","","","","","","","","","","",""
"1307","61627",2019,"van Vliet","Lambert","A Palaeogene cetacean from Maastricht, southern Limburg (The Netherlands)","","journal article",NA,"","Netherlands","Unknown","","","","","","","","","","","","","","",""
"1308","61726",2019,"Varas-Malca","","Filling the gap in the history of otariid seals in the Southeastern Pacific Ocean: New evidence from Peru","","abstract",NA,"","Peru","Unknown","","","","","","","","","","","","","","",""
"1362","61663",2019,"Zazzera","Girone","Preliminary description and taxonomic analysis of a balaenopterid whale skeleton from early Pleistocene of Apulia","","abstract",NA,"","Italy","Unknown","","","","","","","","","","","","","","",""
"1372","74303",2018," International","","Tigriornis leucolopha","","guidebook",NA,"","Nigeria","Unknown","","","","","","","","","","","","","","",""
"1373","74303",2018," International","","Tigriornis leucolopha","","guidebook",NA,"","Papua New Guinea","Unknown","","","","","","","","","","","","","","",""
"1374","74303",2018," International","","Tigriornis leucolopha","","guidebook",NA,"","Venezuela","Unknown","","","","","","","","","","","","","","",""
"1375","74303",2018," International","","Tigriornis leucolopha","","guidebook",NA,"","Portugal","Unknown","","","","","","","","","","","","","","",""
"1376","74303",2018," International","","Tigriornis leucolopha","","guidebook",NA,"","Mexico","Unknown","","","","","","","","","","","","","","",""
"1377","74303",2018," International","","Tigriornis leucolopha","","guidebook",NA,"","Brazil","Unknown","","","","","","","","","","","","","","",""
"1378","74303",2018," International","","Tigriornis leucolopha","","guidebook",NA,"","Spain","Unknown","","","","","","","","","","","","","","",""
"1379","74303",2018," International","","Tigriornis leucolopha","","guidebook",NA,"","Uganda","Unknown","","","","","","","","","","","","","","",""
"1380","74303",2018," International","","Tigriornis leucolopha","","guidebook",NA,"","India","Unknown","","","","","","","","","","","","","","",""
"1381","74303",2018," International","","Tigriornis leucolopha","","guidebook",NA,"","Cambodia","Unknown","","","","","","","","","","","","","","",""
"1382","74303",2018," International","","Tigriornis leucolopha","","guidebook",NA,"","China","Unknown","","","","","","","","","","","","","","",""
"1383","74303",2018," International","","Tigriornis leucolopha","","guidebook",NA,"","Ethiopia","Unknown","","","","","","","","","","","","","","",""
"1384","74303",2018," International","","Tigriornis leucolopha","","guidebook",NA,"","Uruguay","Unknown","","","","","","","","","","","","","","",""
"1385","74303",2018," International","","Tigriornis leucolopha","","guidebook",NA,"","South Africa","Unknown","","","","","","","","","","","","","","",""
"1386","74303",2018," International","","Tigriornis leucolopha","","guidebook",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"1387","74303",2018," International","","Tigriornis leucolopha","","guidebook",NA,"","United Kingdom","Unknown","","","","","","","","","","","","","","",""
"1388","74303",2018," International","","Tigriornis leucolopha","","guidebook",NA,"","Russia","Unknown","","","","","","","","","","","","","","",""
"1389","74303",2018," International","","Tigriornis leucolopha","","guidebook",NA,"","Ukraine","Unknown","","","","","","","","","","","","","","",""
"1390","74303",2018," International","","Tigriornis leucolopha","","guidebook",NA,"","Argentina","Unknown","","","","","","","","","","","","","","",""
"1391","74303",2018," International","","Tigriornis leucolopha","","guidebook",NA,"","Australia","Unknown","","","","","","","","","","","","","","",""
"1392","74303",2018," International","","Tigriornis leucolopha","","guidebook",NA,"","Chile","Unknown","","","","","","","","","","","","","","",""
"1393","74303",2018," International","","Tigriornis leucolopha","","guidebook",NA,"","Ecuador","Unknown","","","","","","","","","","","","","","",""
"1394","74303",2018," International","","Tigriornis leucolopha","","guidebook",NA,"","Greenland","Unknown","","","","","","","","","","","","","","",""
"1395","74303",2018," International","","Tigriornis leucolopha","","guidebook",NA,"","Indonesia","Unknown","","","","","","","","","","","","","","",""
"1396","74303",2018," International","","Tigriornis leucolopha","","guidebook",NA,"","Morocco","Unknown","","","","","","","","","","","","","","",""
"1397","74303",2018," International","","Tigriornis leucolopha","","guidebook",NA,"","Angola","Unknown","","","","","","","","","","","","","","",""
"1398","74303",2018," International","","Tigriornis leucolopha","","guidebook",NA,"","Madagascar","Unknown","","","","","","","","","","","","","","",""
"1399","74303",2018," International","","Tigriornis leucolopha","","guidebook",NA,"","Senegal","Unknown","","","","","","","","","","","","","","",""
"1400","74303",2018," International","","Tigriornis leucolopha","","guidebook",NA,"","New Zealand","Unknown","","","","","","","","","","","","","","",""
"1405","66780",2018,"Al-Fadani","Al-Najar","The first record of Neochelys fajumensis (Podocnemididae, Side-Necked Turtle) from the late Early Oligocene Shumaysi Formation of Western Saudi Arabia","","abstract",NA,"","Saudi Arabia","Unknown","","","","","","","","","","","","","","",""
"1412","65064",2018,"Anonymous","","Subspecies kluges: a pointless taxonomic database to create species opinions for subspecies that then will be over-ruled and allow subspecies to be recognized","","compendium",NA,"","Argentina","Unknown","","","","","","","","","","","","","","",""
"1413","65064",2018,"Anonymous","","Subspecies kluges: a pointless taxonomic database to create species opinions for subspecies that then will be over-ruled and allow subspecies to be recognized","","compendium",NA,"","Australia","Unknown","","","","","","","","","","","","","","",""
"1414","65064",2018,"Anonymous","","Subspecies kluges: a pointless taxonomic database to create species opinions for subspecies that then will be over-ruled and allow subspecies to be recognized","","compendium",NA,"","Austria","Unknown","","","","","","","","","","","","","","",""
"1415","65064",2018,"Anonymous","","Subspecies kluges: a pointless taxonomic database to create species opinions for subspecies that then will be over-ruled and allow subspecies to be recognized","","compendium",NA,"","Bolivia","Unknown","","","","","","","","","","","","","","",""
"1416","65064",2018,"Anonymous","","Subspecies kluges: a pointless taxonomic database to create species opinions for subspecies that then will be over-ruled and allow subspecies to be recognized","","compendium",NA,"","Canada","Unknown","","","","","","","","","","","","","","",""
"1417","65064",2018,"Anonymous","","Subspecies kluges: a pointless taxonomic database to create species opinions for subspecies that then will be over-ruled and allow subspecies to be recognized","","compendium",NA,"","China","Unknown","","","","","","","","","","","","","","",""
"1418","65064",2018,"Anonymous","","Subspecies kluges: a pointless taxonomic database to create species opinions for subspecies that then will be over-ruled and allow subspecies to be recognized","","compendium",NA,"","Czechia","Unknown","","","","","","","","","","","","","","",""
"1419","65064",2018,"Anonymous","","Subspecies kluges: a pointless taxonomic database to create species opinions for subspecies that then will be over-ruled and allow subspecies to be recognized","","compendium",NA,"","Estonia","Unknown","","","","","","","","","","","","","","",""
"1420","65064",2018,"Anonymous","","Subspecies kluges: a pointless taxonomic database to create species opinions for subspecies that then will be over-ruled and allow subspecies to be recognized","","compendium",NA,"","Germany","Unknown","","","","","","","","","","","","","","",""
"1421","65064",2018,"Anonymous","","Subspecies kluges: a pointless taxonomic database to create species opinions for subspecies that then will be over-ruled and allow subspecies to be recognized","","compendium",NA,"","Greenland","Unknown","","","","","","","","","","","","","","",""
"1422","65064",2018,"Anonymous","","Subspecies kluges: a pointless taxonomic database to create species opinions for subspecies that then will be over-ruled and allow subspecies to be recognized","","compendium",NA,"","Italy","Unknown","","","","","","","","","","","","","","",""
"1423","65064",2018,"Anonymous","","Subspecies kluges: a pointless taxonomic database to create species opinions for subspecies that then will be over-ruled and allow subspecies to be recognized","","compendium",NA,"","Latvia","Unknown","","","","","","","","","","","","","","",""
"1424","65064",2018,"Anonymous","","Subspecies kluges: a pointless taxonomic database to create species opinions for subspecies that then will be over-ruled and allow subspecies to be recognized","","compendium",NA,"","Morocco","Unknown","","","","","","","","","","","","","","",""
"1425","65064",2018,"Anonymous","","Subspecies kluges: a pointless taxonomic database to create species opinions for subspecies that then will be over-ruled and allow subspecies to be recognized","","compendium",NA,"","New Zealand","Unknown","","","","","","","","","","","","","","",""
"1426","65064",2018,"Anonymous","","Subspecies kluges: a pointless taxonomic database to create species opinions for subspecies that then will be over-ruled and allow subspecies to be recognized","","compendium",NA,"","Norway","Unknown","","","","","","","","","","","","","","",""
"1427","65064",2018,"Anonymous","","Subspecies kluges: a pointless taxonomic database to create species opinions for subspecies that then will be over-ruled and allow subspecies to be recognized","","compendium",NA,"","Oman","Unknown","","","","","","","","","","","","","","",""
"1428","65064",2018,"Anonymous","","Subspecies kluges: a pointless taxonomic database to create species opinions for subspecies that then will be over-ruled and allow subspecies to be recognized","","compendium",NA,"","Russia","Unknown","","","","","","","","","","","","","","",""
"1429","65064",2018,"Anonymous","","Subspecies kluges: a pointless taxonomic database to create species opinions for subspecies that then will be over-ruled and allow subspecies to be recognized","","compendium",NA,"","Turkey","Unknown","","","","","","","","","","","","","","",""
"1430","65064",2018,"Anonymous","","Subspecies kluges: a pointless taxonomic database to create species opinions for subspecies that then will be over-ruled and allow subspecies to be recognized","","compendium",NA,"","United Kingdom","Unknown","","","","","","","","","","","","","","",""
"1431","65064",2018,"Anonymous","","Subspecies kluges: a pointless taxonomic database to create species opinions for subspecies that then will be over-ruled and allow subspecies to be recognized","","compendium",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"1454","67835",2018,"Boivin","Marivaux","Early Oligocene caviomorph rodents from Shapaja, Peruvian Amazonia","10.1127/pala/2018/0075","journal article",NA,"","Peru","Unknown","","","","","","","","","","","","","","",""
"1480","67855",2018,"Caruthers","Smith","Pliensbachian-Toarcian (Early Jurassic) Ammonoids from the Luning Embayment, West-Central Nevada, U.S.A.","","journal article",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"1584","64651",2018,"Harrison","","Ludfordian conodonts from the Kaarma Quarry, Estonia","","",NA,"","Estonia","Unknown","","","","","","","","","","","","","","",""
"1861","67412",2018,"Vlachos","Bacharidis","A trionychid turtle from the late Aquitanian (early Miocene) of Neochori (Grevena, Western Macedonia, Greece)","10.4435/BSPI.2018.14","journal article",NA,"","Greece","Unknown","","","","","","","","","","","","","","",""
"1922","70221",2017,"Alsen","McRoberts","The Isrand Formation: a Middle Triassic Daonella-bearing, black shale unit in Kilen, North Greenland (with a note on the Triassic in Amdrup Land)","10.1127/nos/2016/0341","journal article",NA,"","Greenland","Unknown","","","","","","","","","","","","","","",""
"1967","74642",2017,"Bucek","Kohler","Palaeocene reef complex of the Western Carpathians","","journal article",NA,"","Slovakia","Unknown","","","","","","","","","","","","","","",""
"1983","65172",2017,"Clements","Schulenberg","","","book",NA,"","French Southern Territories","Unknown","","","","","","","","","","","","","","",""
"1989","66751",2017,"Dammann","","Permomatveevia perneri nov. gen. n. sp., an Early Permian scorpion from Russian Angara-Land","","journal article",NA,"","Russia","Unknown","","","","","","","","","","","","","","",""
"2066","64786",2017,"Haidr","Acosta Hospitaleche","A new penguin cranium from Antarctica and its implications for body size diversity during the Eocene","10.1127/njgpa/2017/0698","journal article",NA,"","Antarctica","Unknown","","","","","","","","","","","","","","",""
"2076","66800",2017,"Hostettler","Bernasconi","Die Cidaroiden (Echinoidea, Echinodermata) des Sornetan-und des Liesberg-Members der BÃƒÂ¤rschwil-Formation (mittleres Oxfordien, Nordwestschweizer Jura)","","journal article",NA,"","Switzerland","Unknown","","","","","","","","","","","","","","",""
"2156","63504",2017,"Mannion","","Personal opinions","","",NA,"","Canada","Unknown","","","","","","","","","","","","","","",""
"2157","63504",2017,"Mannion","","Personal opinions","","",NA,"","United Kingdom","Unknown","","","","","","","","","","","","","","",""
"2163","62394",2017,"McAdams","Bancroft","Integrated carbon isotope and conodont biochemostratigraphy of the Silurian (AeronianÃ¢â‚¬â€œTelychian) of the East-Central Iowa Basin, Iowa, USA","10.1127/nos/2017/0375","journal article",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"2176","62741",2017,"Molino-Olmedo","","Descripcion de Lemodicarmenia olmedoae gen. et n. sp. del Ã¯Â¿Â½mbar cretÃ¯Â¿Â½cico de Myanmar (Coleoptera, Anthicidae, Lemodinae)","","journal article",NA,"","Myanmar (Burma)","Unknown","","","","","","","","","","","","","","",""
"2177","62742",2017,"Molino-Olmedo","","Descripcion de Lemodicarmenia olmedoae gen. et n. sp. del Ã¯Â¿Â½mbar cretÃ¯Â¿Â½cico de Myanmar (Coleoptera, Anthicidae, Lemodinae)","","journal article",NA,"","Myanmar (Burma)","Unknown","","","","","","","","","","","","","","",""
"2178","62743",2017,"Molino-Olmedo","","Descripcion de Lemodicarmenia olmedoae gen. et n. sp. del Ã¯Â¿Â½mbar cretÃ¯Â¿Â½cico de Myanmar (Coleoptera, Anthicidae, Lemodinae)","","journal article",NA,"","Myanmar (Burma)","Unknown","","","","","","","","","","","","","","",""
"2289","72047",2017,"Squires","Stecheson","First Cretaceous record of the gastropod Exilia (Neogastropoda: Ptychatractidae) from the northeastern Pacific","","journal article",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"2343","62170",2017,"Vlachos","","Personal opinions","","",NA,"","Argentina","Unknown","","","","","","","","","","","","","","",""
"2344","62170",2017,"Vlachos","","Personal opinions","","",NA,"","Spain","Unknown","","","","","","","","","","","","","","",""
"2345","62170",2017,"Vlachos","","Personal opinions","","",NA,"","Canada","Unknown","","","","","","","","","","","","","","",""
"2346","62170",2017,"Vlachos","","Personal opinions","","",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"2361","67623",2017,"Wunderlich","","New fossil spiders of three families in Eocene Baltic and Bitterfeld amber, with notes on phylogeny and relationships of the Zoropsidae (Araneae: Anapidae, Spatiatoridae and Zoropsidae)","","book chapter",NA,"","Germany","Unknown","","","","","","","","","","","","","","",""
"2362","67623",2017,"Wunderlich","","New fossil spiders of three families in Eocene Baltic and Bitterfeld amber, with notes on phylogeny and relationships of the Zoropsidae (Araneae: Anapidae, Spatiatoridae and Zoropsidae)","","book chapter",NA,"","Russia","Unknown","","","","","","","","","","","","","","",""
"2364","67625",2017,"Wunderlich","","Description of a derived spider taxon in Ethiopian amber (Araneae: Salticidae)","","journal article",NA,"","Ethiopia","Unknown","","","","","","","","","","","","","","",""
