reference_no,record_type,ref_type,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,publisher,pubcity,pubvol,pubno,firstpage,lastpage,publication_type,language,doi
4774,ref,occ,H. B. S.,Cooke,,,,1994,Personal communication regarding the Omo Suidae,.,,NA,NA,,,,,,,
5922,ref,occ,,Currie,,,,1994,,.,,NA,NA,,,,,,,
5940,ref,occ,,Smith,,,,1996,,.,,NA,NA,,,,,,,
5276,ref,occ,N. E.,Todd,,,,1996,"Dissertation, personal communication",.,,NA,NA,,,,,,,
5455,ref,occ,,Van Danmme,,,,1995,,.,,NA,NA,,,,,,,
5221,ref,occ,F.,Wendorf,R.,Schild,,1980,Prehistory of the Eastern Sahara,.,,NA,NA,,,,,,English,
4008,ref,occ,J. G.,Gehling,,,,1993,The earliest known poriferans: bath tub sponges from the Ediacara fauna of South Australia,1993 California Paleontology Abstracts,,NA,NA,14,4,6,7,abstract,English,
8186,ref,occ,J. F.,Rigby,,,,1964,"The Lower Gondwana flora of the Illawarra coal measures, Wollongong, New South Wales, Australia",22nd International Geological Congress Report,,NA,NA,10,,17,25,journal article,English,
7781,ref,occ,M. A.,Gandolfo,K. C.,Nixon,W. L. Crepet,2002,Triuridaceae fossil flowers from the Upper Cretaceous of New Jersey,89:1940-1957,,NA,NA,89,,1940,1957,journal article,English,
11818,ref,occ,J. W.,Gregory,,,,1900,The fossil corals of Christmas Island,"A monograph of Christmas Island, British Museum (Natural History)",,NA,NA,,,206,225,serial monograph,English,
13171,ref,occ,D. J.,Chure,,,,1995,"A reassessment of the gigantic theropod Saurophagus maximus from the Morrison Formation (Upper Jurassic) of Oklahoma, USA","A. Sun and Y. Wang (eds.), Sixth Symposium on Mesozoic Terrestrial Ecosystems and Biota, Short Papers, China Ocean Press, Beijing",,NA,NA,,,103,106,journal article,English,
13355,ref,occ,R. H.,Breuninger,,,,1976,Palaeoaplysina (Hydrozoan?) carbonate buildups from Upper Paleozoic of Idaho,AAPG Bulletin,,NA,NA,60,,584,607,journal article,English,
13354,ref,occ,J. G.,Frost,,,,1975,"Winterset algal-bank complex, Pennsylvanian, eastern Kansas",AAPG Bulletin,,NA,NA,59,,265,291,journal article,English,
6803,ref,occ,R. W.,Scott,,,,1979,"Depositional model of Early Cretaceous coral-algal-rudist reefs, Arizona",AAPG Bulletin,,NA,NA,63,7,1108,1127,journal article,English,
13348,ref,occ,D. F.,Toomey,J. L.,Wilson,R. Rezak,1977,"Evolution of Yucca Mound complex, Late Pennsylvanian phylloid-algal buildup, Sacramento Mountains, New Mexico",AAPG Bulletin,,NA,NA,61,,2115,2133,journal article,English,
8775,ref,occ,A. R.,Sweet,,,,1979,Jurassic and Cretaceous Megaspores,AASP Contributions Series Number 5B: Contributions of Stratigrphic Palynology (with emphasis on North America): Mesozoic Palynology,,NA,NA,2,5B,1,30,serial monograph,English,
3544,ref,occ,S. L.,Walsh,R.,Estes,,1985,"Earlier Eocene? microvertebrate fossils from San Diego County, California; a preliminary report","Abbott, P. L., (ed) On the manner of deposition of the Eocene strata in northern San Diego County, San Diego, CA. San Diego Association of Geologists Field Trip Guidebook",,NA,NA,,,75,84,book/book chapter,English,
7523,ref,occ,F.,Boehm,O.,Ebli,"L. Krystyn, H. Lobitzer, M. Rakus, M. Siblik",1999,"Fauna, stratigraphy and depositional environment of the Hettangian-Sinemurian (Early Jurassic) of Adnet (Salzburg, Austria)",Abhandlunegn der Geologischen Bundesanstalt,,NA,NA,56,2,143,271,journal article,English,
7634,ref,occ,M.,Siblik,,,,1999,"New data on the Hettangian brachiopod fauna of the Northern Calcareous Alps (Austria, Bavaria)",Abhandlungen der geologischen Bundesanstalt,,NA,NA,56,2,419,438,journal article,English,
13224,ref,occ,M.,Siblik,,,,1999,"On Carnian brachiopods of the Gaisberg near Kirchberg in Tirol (Northern Calcareous Alps, Tyrol)",Abhandlungen der geologischen Bundesanstalt,,NA,NA,56,2,113,120,,English,
7631,ref,occ,D.,Turnsek,T.,Dolenec,"M. Siblik, B. Ogorelec, O. Ebli, H. Lobitzer",1999,"Contributions to the fauna (corals, brachiopods) and stable isotopes of the Late Triassic Steinplatte reef/basin-complex, Northern Calcareous Alps, Austria",Abhandlungen der geologischen Bundesanstalt,,NA,NA,56,2,121,140,journal article,English,
7128,ref,occ,R. C.,Baron-Szabo,,,,1999,"Taxonomy of Upper Cretaceous scleractinian corals of the Gosau Group (Weissenbackalm, Steiermark, Austria)",Abhandlungen der Geologischen Bundesanstalt Wien,,NA,NA,56,2,441,464,journal article,English,
10149,ref,occ,F.,Böhm,O.,Ebli,"L. Krystyn, H. Lobitzer, M. Rakús, M. Siblík",1999,"Fauna, Stratigraphy and Depositional Environment of the Hettangian-Sinemurian (Early Jurassic) of Adnet (Salzburg, Austria)",Abhandlungen der Geologischen Bundesanstalt Wien,,NA,NA,56,2,143,271,journal article,English,
11993,ref,occ,A. N.,Trivedy,P. P.,Satsangi,,1984,A new archaeocete (whale) from the Eocene of India,"Abstracts of 27th International Geological Congress, Moscow",,NA,NA,1,,322,323,journal article,English,
324,ref,occ,C. E.,Mason,D. M.,Work,,1997,A new Lower Mississippian (Kinderhookian) ammonoid fauna from northeastern Kentucky and southern Ohio,"Abstracts with programs, Geological Society of America",,NA,NA,29,3,57,57,,English,
10631,ref,occ,P. R.,Bjork,,,,1981,Food habits of mosasaurs from the Pierre Shale of South Dakota,"Abstracts with Programs, Rocky Mountian Section, Geological Society of America",,NA,NA,13,4,191,,abstract,English,
5209,ref,occ,F.,Wendorf,R.,Schild,,1976,Prehistory of the Nile Valley,"Academic Press, New York",,NA,NA,,,,,,English,
678,ref,occ,B. S.,Sokolov,,,,1982,Ordovician of the siberian Platform: Key section on the Kulumbe River,"Academy of Sciences of the USSR, Siberian Branch, Transactions",,NA,NA,506,,1,239,,Russian,
11438,ref,occ,D.,Han,,,,1985,"The Artiodactyla of Ramapithecus site, Lufeng, Yunnan",Acta Anthropologica Sinica (Renleixue xuebao),,NA,NA,4,1,44,54,journal article,Chinese,
10885,ref,occ,G.,Qi,,,,1985,"Stratigraphic summarization of Ramapithecus fossil locality, Lufeng, Yunnan",Acta Anthropologica Sinica (Renleixue xuebao),,NA,NA,4,1,55,69,journal article,Chinese,
11437,ref,occ,G.,Qi,,,,1985,"A preliminary report on Carnivora from the Ramapithecus locality, Lufeng, Yunnan",Acta Anthropologica Sinica (Renleixue xuebao),,NA,NA,4,1,33,43,journal article,Chinese,
11436,ref,occ,Z.,Qiu,D.,Han,"G. Qi, Y. Lin",1985,"A preliminary report on a micromammalian assemblage from the hominoid locality of Lufeng, Yunnan",Acta Anthropologica Sinica (Renleixue xuebao),,NA,NA,4,1,13,32,journal article,Chinese,
11394,ref,occ,R.,Wu,Y.,Pan,,1984,"A late Miocene Gibbon-like Primate from Lufeng, Yunnan Province",Acta Anthropologica Sinica (Renleixue xuebao),,NA,NA,3,3,185,194,journal article,Chinese,
11433,ref,occ,R.,Wu,Y.,Pan,,1985,"A new Adapid Primate from the Lufeng Miocene, Yunnan",Acta Anthropologica Sinica (Renleixue xuebao),,NA,NA,4,1,1,6,journal article,Chinese,
4037,ref,occ,S. -G.,Hao,,,,1988,"A new Lower Devonian genus from Yunnan, with notes on the origin of leaf",Acta Botanica Sinica,,NA,NA,30,,441,448,journal article,English,
4056,ref,occ,J.,Hsu,,,,1966,On plant remains from the Devonian of Yunnan and their significance in the identification of the stratigraphical sequence of this region,Acta Botanica Sinica,,NA,NA,14,,50,69,journal article,English,
6870,ref,occ,A.,Barabas-Stuhl,,,,1981,Microflora of the Permian and Lower Triassic sediments of the Mecsek Mountains (south Hungary),Acta Geologica Academiae Scientarum Hungaricae,,NA,NA,24,1,49,97,journal article,English,
7642,ref,occ,G. I.,Abdel-Gawad,,,,1986,"Maastrichtian non-cephalopod mollusks: Scaphopoda, Gastropoda and Bivalvia of the Middle Vistula Valley, central Poland",Acta Geologica Polonica,,NA,NA,36,01-Mar,69,224,journal article,English,
10475,ref,occ,W. K.,Christensen,,,,2000,Belemnitella schulzi sp. nov. from the uppermost Campanian and lowest Maastrichtian chalks of Northwest Germany and Denmark,Acta Geologica Polonica,,NA,NA,50,1,55,66,journal article,English,
8714,ref,occ,M.,Gorka,,,,2002,"The Lower Badenian (Middle Miocene) coral patch reef at Grobie (southern slopes of the Holy Cross Mountains, Central Poland), its origin, development and demise",Acta Geologica Polonica,,NA,NA,52,4,521,534,journal article,English,
10401,ref,occ,Z.,Heliasz,G.,Racki,,1980,"Ecology of the Upper Jurassic brachiopod bed from Julianka, Polish Jura Chain",Acta Geologica Polonica,,NA,NA,30,2,175,197,journal article,English,
12847,ref,occ,A,Kroh,,,,2004,"Additional records of Late Cretaceous and Early Paleogene echinoids from the Gschliefgraben (Ultrahelvetic, Upper Austria)",Acta Geologica Polonica,,NA,NA,54,4,551,571,journal article,English,
11699,ref,occ,E.,Roniewicz,J.,Stolarski,,1991,"Miocene Scleractinia from the Holy Cross Mountains, Poland; II, Archaecoeniina, Astraeina, and Fungiina",Acta Geologica Polonica,,NA,NA,41,01-Feb,69,83,journal article,English,
4404,ref,occ,S.,Skompski,M.,Paszkowski,"M. Krobicki, K. Kokovin, D. Korn, A. Tomas, T. Wezolek",2001,"Depositional setting of the Devonian/Carboniferous biohermal Bol'shaya Nadota carbonate complex, Subpolar Urals",Acta Geologica Polonica,,NA,NA,51,3,217,235,journal article,English,
10456,ref,occ,J.,Stolarski,,,,1991,"Miocene Scleractinia from the Holy Cross Mountains, Poland; I, Caryophyliidae, Flabellidae, Dendrophyliidae, and Micrabaciidae",Acta Geologica Polonica,,NA,NA,41,01-Feb,37,67,journal article,English,
4052,ref,occ,Y. W.,Dou,Z. H.,Sun,,1985,On the Late Palaeozoic plants in Northern Xinjiang,Acta Geologica Sinica,,NA,NA,59,,1,10,journal article,Chinese,
8935,ref,occ,L.,Cao,X.,Wang,,1999,"Heterospores of the Genus Ariadnaesporites (Salviniaceae) from the Late Cretaceous, Heilongjiang",Acta Micropalaeontologica Sinica,,NA,NA,16,1,50,53,journal article,Chinese,
13271,ref,occ,F.,Pei,,,,1985,First discovery of Yochelcionella from the Lower Cambrian of China and its significance,Acta Micropalaeontologica Sinica,,NA,NA,2,4,395,400,journal article,Chinese,
8745,ref,occ,M.,Collinson,Z.,Kvacek,E. Zastawniak,2001,The aquatic plants Salvinia (Salviniales) and Limnobiophyllum (Arales) from the Late Miocene flora of Sosnica (Poland),Acta Palaeobot.,,NA,NA,41,2,253,282,journal article,English,
8702,ref,occ,A. O.,Averianov,A. V.,Voronkevich,"E. N. Maschenko, S. V. Leshchinskiy, A. V. Fayngertz",2002,"A sauropod foot from the Early Cretaceous of western Siberia, Russia",Acta Palaeontologica Polonica,,NA,NA,47,1,117,124,journal article,English,
9568,ref,occ,A.,Balinski,,,,2002,Frasnian-Famennian brachiopod extinction and recovery in southern Poland,Acta Palaeontologica Polonica,,NA,NA,47,2,289,305,journal article,English,
8857,ref,occ,J.,Blaszyk,A.,Gazdzicki,,1983,Lower Lias ostracodes of the Tatra Mts (West Carpathians),Acta Palaeontologica Polonica,,NA,NA,27,01-Apr,129,136,journal article,English,
10334,ref,occ,M.,Borsuk-Bialynicka,E.,Cook,"S. E. Evans, T. Maryanska",1999,A microvertebrate assemblage from the Early Triassic of Poland,Acta Palaeontologica Polonica,,NA,NA,44,2,167,188,journal article,English,
10333,ref,occ,M.,Borsuk-Bialynicka,S. E.,Evans,,2003,A basal archosauriform from the Early Triassic of Poland,Acta Palaeontologica Polonica,,NA,NA,48,4,649,652,journal article,English,
10336,ref,occ,M.,Borsuk-Bialynicka,T.,Maryanska,M. A. Shishkin,2003,"New data on the age of the bone breccia from the locality Czatkowice 1 (Cracow Upland, Poland)",Acta Palaeontologica Polonica,,NA,NA,48,1,153,155,journal article,English,
13040,ref,occ,E.,Buffetaut,,,,1983,Mesozoic vertebrates from Thailand: a review,Acta Palaeontologica Polonica,,NA,NA,28,01-Feb,43,53,journal article,English,
12795,ref,occ,M.W.,Caldwell,A. M.,Albino,,2001,"Palaeoenvironment and palaeoecology of three Cretaceous snakes: Pachyophis, Pachyrhachis, and Dinilysia.",Acta Palaeontologica Polonica,,NA,NA,46,2,203,218,journal article,English,
9564,ref,occ,J.-G.,Casier,X.,Devleeschouwer,"F. Lethiers, A. Preat, G. Racki",2002,"Ostracods and fore-reef sedimentology of the Frasnian-Famennian boundary beds in Kielce (Holy Cross Mountains, Poland)",Acta Palaeontologica Polonica,,NA,NA,47,2,227,246,journal article,English,
9562,ref,occ,J.,Day,D. J.,Over,,2002,Post-extinction survivor fauna from the lowermost Famennian of eastern North America,Acta Palaeontologica Polonica,,NA,NA,47,2,189,202,journal article,English,
10402,ref,occ,J.,Dzik,,,,1979,Some terebratulid populations from the Lower Kimmeridgian of Poland and their relations to the biotic environment,Acta Palaeontologica Polonica,,NA,NA,24,4,473,492,journal article,English,
11663,ref,occ,J.,Dzik,,,,1990,The ammonite Acrochordiceras in the Triassic of Silesia,Acta Palaeontologica Polonica,,NA,NA,35,01-Feb,49,65,journal article,English,
10335,ref,occ,S. E.,Evans,M.,Borsuk-Bialynicka,,1998,A stem-group frog from the Early Triassic of Poland,Acta Palaeontologica Polonica,,NA,NA,43,4,573,580,journal article,English,
9563,ref,occ,R.,Feist,,,,2002,"Trilobites from the latest Frasnian Kellwasser Crisis in North Africa (Mrirt, central Moroccan Meseta)",Acta Palaeontologica Polonica,,NA,NA,47,2,203,210,journal article,English,
13327,ref,occ,W.M,Feng,W.G.,Sun,,2003,Phosphate replicated and replaced microstructure of molluscan shells from the earliest Cambrian of China,Acta Palaeontologica Polonica,,NA,NA,48,1,21,30,journal article,English,
12941,ref,occ,A,Folie,V,Codrea,,2005,"New lissamphibians and squamates from the Maastrichtian of Hateg Basin, Romania",Acta Palaeontologica Polonica,,NA,NA,50,1,57,71,journal article,English,
9338,ref,occ,A. B.,Foster,,,,1980,Ecology and morphology of the Caribbean Mio-Pliocene reef-coral Siderastrea,Acta Palaeontologica Polonica,,NA,NA,25,,439,450,journal article,English,
12501,ref,occ,P.,Godefroit,Y. L.,Bolotsky,J. Van Itterbeeck,2004,"The lambeosaurine dinosaur Amurosaurus riabinini, from the Maastrichtian of Far Eastern Russia",Acta Palaeontologica Polonica,,NA,NA,49,4,575,618,journal article,English,
10483,ref,occ,J. D.,Harris,P.,Dodson,,2004,"A new diplodocoid sauropod dinosaur from the Upper Jurassic Morrison Formation of Montana, USA",Acta Palaeontologica Polonica,,NA,NA,49,2,197,210,journal article,English,
10293,ref,occ,J. A.,Holman,D. L.,Harrison,,2003,A new helmeted frog of the genus Thaumastosaurus from the Eocene of England,Acta Palaeontologica Polonica,,NA,NA,48,1,157,160,journal article,English,
10329,ref,occ,J. A.,Holman,D. L.,Harrison,,1998,"A new genus of small boid snake from the Upper Eocene of Hordle Cliff, Hampshire, England",Acta Palaeontologica Polonica,,NA,NA,41,1,29,33,journal article,English,
12904,ref,occ,M,Ivanov,,,,2002,"The oldest known Miocene snake fauna from Central Europe: Merkur-North locality, Czech Republic",Acta Palaeontologica Polonica,,NA,NA,47,3,513,534,journal article,English,
8874,ref,occ,A,Kaim,,,,1997,"Brachiopod-bivalve assemblages of the middle Triassic Terebratula Beds, Upper Siesia, Poland",Acta Palaeontologica Polonica,,NA,NA,42,2,333,359,journal article,English,
9340,ref,occ,S. T.,Khusanov,,,,1980,Late Jurassic Scleractinia of the western Uzbekistan,Acta Palaeontologica Polonica,,NA,NA,25,03-Apr,571,576,journal article,English,
6098,ref,occ,Z.,Kielan-Jaworowska,R. L.,Cifelli,,2001,Primitive boreosphenidan mammal (?Deltatheroida) from the Early Cretaceous of Oklahoma,Acta Palaeontologica Polonica,,NA,NA,46,3,377,391,journal article,English,
10465,ref,occ,Z.,Kielan-Jaworowska,D.,Dashzeveg,,1978,New Late Cretaceous mammal locality in Mongolia and a description of a new multituberculate,Acta Palaeontologica Polonica,,NA,NA,23,2,115,128,journal article,English,
11833,ref,occ,C.,Klug,A.,Lehmkuhl,,2004,Softtissue attachment structures and taphonomy of the Middle Triassic nautiloid Germanonautilus,Acta Palaeontologica Polonica,,NA,NA,49,2,243,258,journal article,English,
8865,ref,occ,K.,Kowalski,,,,1956,"Insectivores, bats and rodents from the Early Pleistocene bone breccia of Podlesice near Kroczyce (Poland)",Acta Palaeontologica Polonica,,NA,NA,1,4,331,393,journal article,English,
12458,ref,occ,D. W.,Krause,M. D.,Gottfried,"P. M. O'Connor, E. M. Roberts",2003,A Cretaceous mammal from Tanzania,Acta Palaeontologica Polonica,,NA,NA,48,3,321,330,journal article,English,
11037,ref,occ,X-P,Ma,Y-L,Sun,"W-C Hao, W-H Liao",2002,"Rugose corals and brachiopods across the Frasnian-Famennian boundary in central Hunan, South China",Acta Palaeontologica Polonica,,NA,NA,47,2,373,396,journal article,English,
9907,ref,occ,T.,Maryanska,H.,Osmólska,,1981,"First lambeosaurine dinosaur from the Nemegt Formation, Upper Cretaceous, Mongolia",Acta Palaeontologica Polonica,,NA,NA,26,03-Jan,243,255,journal article,English,
10159,ref,occ,G.,Melnikova,,,,1994,"Monstroseris, a new Upper Triassic Scleractinian Coral from Iran",Acta Palaeontologica Polonica,,NA,NA,34,1,71,74,journal article,English,
9207,ref,occ,E.,Morycowa,,,,1988,"Middle Triassic scleractinia from the Cracow-Silesia region, Poland",Acta Palaeontologica Polonica,,NA,NA,33,,91,121,journal article,English,
10328,ref,occ,C. A.,Norris,D. L.,Harrison,,1998,"Mammalian periotic bones from the Eocene deposits at Hordle, Hampshire",Acta Palaeontologica Polonica,,NA,NA,41,1,69,77,journal article,English,
9566,ref,occ,E.,Olempska,,,,2002,"The Late Devonian Upper Kellwasser Event and entomozoacean ostracods in the Holy Cross Mountains, Poland",Acta Palaeontologica Polonica,,NA,NA,47,2,247,266,journal article,English,
9905,ref,occ,H.,Osmólska,,,,1996,An unusual theropod dinosaur from the Late Cretaceous Nemegt Formation of Mongolia,Acta Palaeontologica Polonica,,NA,NA,41,1,1,38,journal article,English,
13353,ref,occ,K.,Pozaryska,,,,1977,Upper Eocene foraminifera of East Poland and their paleogeographical meaning,Acta Palaeontologica Polonica,,NA,NA,22,1,3,54,journal article,English,
4233,ref,occ,V. N.,Puchkov,G.,Klapper,T V Mashkova,1981,Natural Assemblages of Palmatolepis from the Upper Devonian of the Northern Urals,Acta Palaeontologica Polonica,,NA,NA,26,03-Apr,281,298,journal article,English,
10865,ref,occ,J.,Stolarski,A.,Russo,,2002,Microstructural diversity of the stylophyllid (Scleractinia) skeleton,Acta Palaeontologica Polonica,,NA,NA,47,4,651,666,journal article,English,
12831,ref,occ,R.,Tabuce,M.,Vianey-Liaud,G. Garcia,2004,"A eutherian mammal in the latest Cretaceous of Vitrolles, southern France",Acta Palaeontologica Polonica,,NA,NA,49,3,347,356,journal article,English,
8892,ref,occ,M.,Waksmundzka,,,,1982,LOWER CRETACEOUS MEGASPORES FROM NORTHERN POLAND,Acta Palaeontologica Polonica,,NA,NA,27,01-Apr,147,156,journal article,English,
9721,ref,occ,J.-S.,Fan,Y.-M.,Wang,Y.-S. Wu,2002,Calcisponges and hydrozoans from Permian reefs in western Guangxi (in Chinese),Acta Palaeontologica Sinica,,NA,NA,41,,334,348,journal article,Chinese,
4043,ref,occ,S. -G.,Hao,D.-M,Wang,,2000,"Two species of Zosterophyllum Penhallow (Z. australianum Lang and Cookson, Z. ramosum sp. nov.) from the Lower Devonian (Pragian) of southeastern Yunnan, China",Acta Palaeontologica Sinica,,NA,NA,39,,26,41,journal article,English,
13267,ref,occ,T.,He,F.,Pei,G. Fu,1984,"Some small shelly fossils from the Lower Cambrian Xinji Formation in Fangcheng County, Henan Province",Acta Palaeontologica Sinica,,NA,NA,23,4,350,357,journal article,Chinese,
847,ref,occ,X.,Hou,W.,Sun,,1989,"Discovery of Chengjiang fauna at Meishucun, Jinning, Yunnan",Acta Palaeontologica Sinica,,NA,NA,27,1,1,12,journal article,Chinese,
4024,ref,occ,X. -X.,Li,C.-Y.,Cai,,1977,Early Devonian Zosterophyllum remains from southwest China,Acta Palaeontologica Sinica,,NA,NA,16,1,12,34,journal article,Chinese,
9409,ref,occ,Z.-H.,Liu,,,,1986,Ecological characters of Devonian Leimingdong reef complex section in Lianyuan of Hunan (in Chinese),Acta Palaeontologica Sinica,,NA,NA,25,6,603,608,journal article,Chinese,
9361,ref,occ,J.-w.,Shen,C.-m.,Yu,,1996,"Middle Devonian (Givetian) coral-stromatoporoid reef at Yanshan, north of Guilin, Guangxi, South China",Acta Palaeontologica Sinica,,NA,NA,35,6,686,701,journal article,Chinese,
419,ref,occ,W.,Sun,X.,Hou,,1987,"Early Cambrian worms from Chengjiang, Yunnan, China: Maotianshania gen. nov",Acta Palaeontologica Sinica,,NA,NA,26,3,299,305,,Chinese,
8103,ref,occ,L.,Wang,Z.,Xie,Wang Ziqiang,1978,On the occurrence of Pleuromeia from the Qinshui Basin in Shanxi Province,Acta Palaeontologica Sinica,,NA,NA,17,2,195,212,journal article,Chinese,
11660,ref,occ,M.,Wang,,,,1993,"Bivalve fauna from uppermost Permian and lowermost Triassic of Fenghai, Yong'an, Fujian",Acta Palaeontologica Sinica,,NA,NA,32,4,471,475,journal article,Chinese,
7266,ref,occ,H. K.,Xu,,,,1979,Brachiopods from the Tangxiang Formation (Devonian) in Nandan of Guangxi,Acta Palaeontologica Sinica,,NA,NA,18,4,362,380,journal article,Chinese,
13237,ref,occ,W.,Yü,,,,1986,"Lower Cambrian univalved molluscs from Kuruktag, Xinjiang",Acta Palaeontologica Sinica,,NA,NA,25,1,10,16,,Chinese,
13407,ref,occ,W.-T.,Zhang,L.E.,Babcock,,2002,"Helcionelloid mollusk from the Lower Cambrian Heilinpu Formation, Chengjiang, Yunnan",Acta Palaeontologica Sinica,,NA,NA,41,3,303,307,journal article,Chinese,
7961,ref,occ,Z.-Y.,Zhou,B.-X.,Li,,1979,"A preliminary study of the Early Triassic plants from the Qionghai District, Hainan Island",Acta Palaeontologica Sinica,,NA,NA,18,5,444,464,journal article,Chinese,
8990,ref,occ,L.,Hao-min,S.,De-Kang,,1988,"Fossil remains of some angiosperms from King George Island, Antarctica",Acta Paleontologica Sinica,,NA,NA,27,4,399,403,journal article,Chinese,
11497,ref,occ,W.,Yü,,,,1961,"Some Lower Ordovician gastropods from the Zhuozishan district, Inner Mongolia",Acta Paleontologica Sinica,,NA,NA,1,4,30,37,journal article,Chinese,
4050,ref,occ,B. -Y.,Geng,,,,1992,Studies on Early Devonian flora of Sichuan,Acta Phytotaxonomica Sinica,,NA,NA,30,3,197,211,journal article,Chinese,
9173,ref,occ,B.,Rzebik-Kowalska,,,,1990,"Pliocene and Pleistocene Insectivora (mammalia) of Poland. VII. Soricidae: Mafia Reumer, 1984, Sulimskia Reumer, 1984 and Paenelimnoecus Baudelot, 1972",Acta Zoologia Cracoviensia,,NA,NA,33,14,303,327,journal article,English,
11380,ref,occ,S.,Gentili,L.,Abbazzi,"F. Masini, P. Ambrosetti, P. Argenti, D. Torre",1996,"Voles from the Early Pleistocene of Pietrafitta (central Italy, Perugia)",Acta Zoologica Cracovensia,,NA,NA,39,1,185,199,journal article,English,
8655,ref,occ,E.,Terzea,,,,1996,"Biochronology of the Pleistocene deposits at Betfia (Bihor, Romania)",Acta Zoologica Cracovensia,,NA,NA,39,1,531,540,journal article,English,
8887,ref,occ,C.,Black,K.,Kowalski,,1974,"The Pliocene and Pleistocene Sciuridae (Mammalia, Rodentia) from Poland",Acta Zoologica Cracoviensia,,NA,NA,19,19,461,486,journal article,English,
766,ref,occ,R.,Estes,,,,1988,"Lower vertebrates from the Golden Valley Formation, Early Eocene of North Dakota",Acta Zoologica Cracoviensia,,NA,NA,31,20,541,562,,English,
7901,ref,occ,J. A.,Holman,D. L.,Harrison,,1998,"A new genus of snake (Serpentes: Boidae) from the upper Eocene of Hordle Cliff, Hampshire, England",Acta Zoologica Cracoviensia,,NA,NA,41,,23,27,journal article,English,
12940,ref,occ,J. A.,Holman,M,Tanimoto,,2004,cf. Trimeresurus Lacépède (Reptilia: Squamata: Viperidae: Crotalinae) from the late Early Miocene of Japan,Acta Zoologica Cracoviensia,,NA,NA,47,1,1,7,journal article,English,
8433,ref,occ,K.,Kowalski,,,,1993,"Neocometes Schaub and Zapfe, 1953 (Rodentia, Mammalia) from the Miocene of Belchatow (Poland).",Acta zoologica Cracoviensia,,NA,NA,36,2,259,265,journal article,English,
8434,ref,occ,K.,Kowalski,,,,1993,"Microtocricetus molassicus Fahlbusch and Mayr, 1975 (Rodentia, Mammalia) from the Miocene of Belchatow (Poland).",Acta Zoologica Cracoviensia,,NA,NA,36,2,251,258,journal article,English,
8869,ref,occ,K.,Kowalski,,,,1962,Fauna of Bats from the Pliocene of Weze in Poland,Acta Zoologica Cracoviensia,,NA,NA,7,3,1,51,journal article,English,
8884,ref,occ,K.,Kowalski,,,,1963,"The Pliocene and Pleistocene Gliridae (Mammalia, Rodentia) from Poland",Acta Zoologica Cracoviensia,,NA,NA,8,14,533,567,,English,
8882,ref,occ,M.,Mlynarski,,,,1962,Notes on the amphibian and reptilian fauna of the Polish Pliocene and Early Pleistocene,Acta Zoologica Cracoviensia,,NA,NA,7,2,177,194,journal article,English,
12911,ref,occ,D,Parmley,J. A.,Holman,,2003,"Nebraskophis Holman from the Late Eocene of Georgia (USA), the oldest known North American colubrid snake",Acta Zoologica Cracoviensia,,NA,NA,46,1,1,8,journal article,English,
10650,ref,occ,C.,Radulesco,P. -M.,Samson,,1996,"Pliocene and Early Pleistocene arvicolids (Rodentia, Mammalia) of the Dacic Basin, Romania.",Acta Zoologica Cracoviensia,,NA,NA,39,1,401,406,journal article,English,
8999,ref,occ,B,Rzebik-Kowalska,,,,1975,The Pliocene and Pleistocene Insectivores (Mammalia) of Poland. II. Soricidae: Paranourosorex and Amblycoptus,Acta Zoologica Cracoviensia,,NA,NA,20,6,167,184,journal article,English,
8440,ref,occ,B.,Rzebik-Kowalska,,,,1994,"Insectivora (Mammalia) from the Miocene of Belchatow in Poland. II. Soricidae Fischer von Waldheim, 1817",Acta zoologica Cracoviensia,,NA,NA,37,1,137,155,journal article,English,
8441,ref,occ,B.,Rzebik-Kowalska,,,,1996,"Insectivora (Mammalia) from the Miocene of Belchatow, Poland. III. Dimylidae Schlosser, 1887",Acta zoologica Cracoviensia,,NA,NA,39,1,447,468,journal article,English,
8998,ref,occ,B.,Rzebik-Kowalska,,,,1976,The Neogene and Pleistocene Insectivores (Mammalia) of Poland. III. Soricidae: Beremendia and Blarinoides,Acta Zoologica Cracoviensia,,NA,NA,21,12,359,386,journal article,English,
9129,ref,occ,B.,Rzebik-Kowalska,,,,1981,The Pliocene and Pleistocene Insectivora (Mammalia) of Poland IV. Soricidae: Neomysorex n. gen. and Episoriculus Ellerman er Morrison-Scott 1951,Acta Zoologica Cracoviensia,,NA,NA,25,8,227,250,journal article,English,
9224,ref,occ,B.,Rzebik-Kowalska,,,,1991,"Pliocene and Pleistocene Insectivora (Mammalia) of Poland. VIII. Soricidae: Sorex Linnaeus, 1758, Neomys Kaup, 1829, Macroneomys Fejfar, 1966, Paenelimnoecus Baudelot, 1972 and Soricidae indeterminata.",Acta Zoologica Cracoviensia,,NA,NA,34,2,323,424,journal article,English,
9290,ref,occ,B.,Rzebik-Kowalska,,,,1990,"Pliocene and Pleistocene Insectivora (Mammalia) of Poland. VI. Soricidae: Deinsdorfia Heller, 1963 and Zelceina Sulimski, 1962",Acta Zoologica Cracoviensia,,NA,NA,33,4,45,77,journal article,English,
