reference_no,record_type,ref_type,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,publisher,pubcity,pubvol,pubno,firstpage,lastpage,publication_type,language,doi
8778,ref,occ,W. L.,Kovach,D. L.,Dilcher,,1988,"Megaspores and other dispersed plant remains from the Dakota Formation (Cenomanian) of Kansas, U.S.A.",Palynology,,NA,NA,12,,89,119,journal article,English,
454,ref,occ,J. S.,Jell,D.,Hill,,1969,"The Devonian Coral Fauna of the Point Hibbs Limestone, Tasmania",Papers and Proceedings of the Royal Society of Tasmania,,NA,NA,104,,1,16,,,
8008,ref,occ,W. D.,Tidwell,J.H.,Kern,T. Kimura,1987,"Mid-Mesozoic leaves from near Ida Bay, southern Tasmania, Australia",Papers and Proceedings of the Royal Society of Tasmania,,NA,NA,121,,159,170,journal article,,
8180,ref,occ,J. A.,Townrow,,,,1964,Speculation of the Rhaeto-Liassic climate of Tasmania,Papers and Proceedings of the Royal Society of Tasmania,,NA,NA,98,,113,118,journal article,,
2621,ref,occ,G. S.,Morgan,R. B.,Ridgway,,1987,"Late Pliocene (late Blancan) vertebrates from the St. Petersburg Times site, Pinellas County, Florida, with a brief review of Florida Blancan faunas",Papers in Florida Paleontology,,NA,NA,1,,1,22,journal article,English,
1869,ref,occ,C. W.,Hibbard,,,,1953,The Saw Rock Canyon fauna [Kansas] and its stratigraphic significance,"Papers of the Michigan Academy of Science, Arts, and Letters",,NA,NA,38,,387,411,journal article,English,
1887,ref,occ,C. W.,Hibbard,,,,1963,A late Illinoian fauna from Kansas and its climatic significance,"Papers of the Michigan Academy of Science, Arts, and Letters",,NA,NA,48,,187,221,journal article,English,
1889,ref,occ,C. W.,Hibbard,,,,1964,,"Papers of the Michigan Academy of Science, Arts, and Letters",,NA,NA,49,,,,journal article,English,
13525,ref,occ,J. H.,Ostrom,,,,1970,"Stratigraphy and paleontology of the Cloverly Formation (Lower Cretaceous) of the Bighorn Basin area, Wyoming and Montana",Peabody Museum Bulletin,,NA,NA,35,,1,234,journal article,English,
3520,ref,occ,K. M.,Waage,,,,1968,,Peabody Museum of Natural History Bulletin,,NA,NA,27,,,,journal article,English,
841,ref,occ,R. L.,Ellison,,,,1965,Stratigraphy and Paleontology of the Mahantango Formation in south-central Pennsylvania,Pennsylvania Geological Survey Bulletin G48,,NA,NA,,,1,298,book/book chapter,English,
8320,ref,occ,,Bur. of Geol. and Min. Resources of Jiangsu,,,,1984,Regional geology of Jiangsu Province and Shanghai Municipality,"People's Republic of China Ministry of Geology and Mineral Resources, Geological Memoirs",,NA,NA,1,1,1,857,book/book chapter,English,
11624,ref,occ,C. B.,Neri,M.,Pasini,R. Posenato,1986,"The Permian/Triassic boundary and the Early Scythian sequence - Tereso section, Dolomites",Permian and Permian-Triassic Boundary in the South-Alpine Segement of the Western Tethys - IGCP Project No. 203,,NA,NA,,,111,116,guidebook,English,
8185,ref,occ,J. F.,Rigby,,,,1983,The role of the Glossopteris flora in biostratigraphy--a preliminary assessment in the Reids Dome Beds,"Permian Geology of Queensland. Geological Society of Australia, Queensland Division, Brisbane, Australia",,NA,NA,,,221,229,book/book chapter,English,
11693,ref,occ,V.,Khuc,,,,2000,The Triassic of Indochina Peninsula and its interregional correlation,Permian-Triassic Evolution of Tethys and Western Circum-Pacific,,NA,NA,,,221,233,book/book chapter,English,
13574,ref,occ,G. T.,Forsythe,,,,2003,A new synthesis of Permo-Carboniferous phylloid algal reef ecology,"Permo-Carboniferous carbonate platforms and reefs, SEPM Special Publication",,NA,NA,78,,171,188,book/book chapter,English,
13573,ref,occ,M.,Aretz,H.-G.,Herbig,,2003,Contribution of rugose corals to late Viséan and Serpukhovian bioconstructions in the Montagne Noire (southern France),Permo-Carboniferous carbonate platforms and reefs. SEPM Special Publication,,NA,NA,78,,119,132,book/book chapter,English,
13576,ref,occ,E.,Samankassou,,,,2003,"Upper Carboniferous–Lower Permian buildups of the Carnic Alps, Austria–Italy",Permo-Carboniferous carbonate platforms and reefs. SEPM Special Publication,,NA,NA,78,,201,217,book/book chapter,English,
4428,ref,occ,S. L.,Wing,,,,1990,personal research,personal research,,NA,NA,,,,,,,
4239,ref,occ,N. H.,Foster,,,,1963,Faunal Zonation and Stratigraphy of the Mississippian Madison Group: Wyoming and Montana,Ph.D. dissertation at Univeristy of Kansas,,NA,NA,,,,,Ph.D. thesis,English,
8374,ref,occ,E. A.,Kowalski,,,,2001,"Middle to late Miocene environments of southern Ecuador: temperature, elevation and fossil plants of the Nabon Basin.","Ph.D. Dissertation, Geological Sciences, University of Michigan",,NA,NA,,,1,437,Ph.D. thesis,English,
830,ref,occ,H. R.,Feldman,,,,1978,Brachiopods and Community Ecology of the Onondaga Limestone,"Ph.D. thesis, Rutgers University",,NA,NA,,,1,203,Ph.D. thesis,English,
4760,ref,occ,H. L.,Schwartz,,,,1983,"Paleoecology of Late Cenozoic Fishes from the Turkana Basin, Northern Kenya","PhD Dissertation, University of California, Santa Cruz",,NA,NA,,,,,,English,
12453,ref,occ,D. I.,Whiteside,,,,1986,The head skeleton of the Rhaetian sphenodontid Diphydontosaurus avonis gen. et sp. nov. and the modernizing of a living fossil,"Philisophical Transactions of the Royal Society of London, Series B",,NA,NA,312,,379,430,journal article,English,
10789,ref,occ,M.,Hastings,,,,1853,"On the Tertiary Beds of Hordwell, Hampshire","Philosophical Magazine and Journal of Science, Fourth Series",,NA,NA,6,36,1,11,journal article,English,
4070,ref,occ,W. N.,Croft,W. H.,Lang,,1942,The Lower Devonian flora of the Senni Beds of Monmouthsire and Breconshire,Philosophical Transactions of the Royal Society of Britain,,NA,NA,221,,131,163,journal article,English,
7427,ref,occ,J. W.,Hulke,,,,1881,"<i>Polacanthus foxii</i>, a large undescribed dinosaur from the Wealden Formation in the Isle of Wight",Philosophical Transactions of the Royal Society of London,,NA,NA,172,,653,662,journal article,English,
13427,ref,occ,A. M.,Lister,J. M.,McGlade,,1990,"The Early Middle Pleistocene vertebrate fauna from Little Oakley, Essex",Philosophical Transactions of the Royal Society of London B,,NA,NA,328,,359,385,journal article,English,
9482,ref,occ,E. T.,Newton,,,,1894,Reptiles from the Elgin Sandstone. — Description of two new genera,Philosophical Transactions of the Royal Society of London B,,NA,NA,185,,573,607,journal article,English,
13428,ref,occ,A. J.,Stuart,,,,1980,The vertebrate fauna from the interglacial deposits at Sugworth near Oxford,Philosophical Transactions of the Royal Society of London B,,NA,NA,289,,87,97,journal article,English,
3957,ref,occ,D.,Edwards,U.,Fanning,,1985,Evolution and environment in the late Silurian-early Devonian: the rise of the pteridophytes,"Philosophical Transactions of the Royal Society of London, B",,NA,NA,309,,147,165,journal article,English,
561,ref,occ,R. M. C.,Eagar,,,,1977,Some new Namurian bivalve faunas and their significance in the origin of Carbonicola and in the colonization of Carboniferous deltaic environments,Philosophical Transactions of the Royal Society of London. Series B - Biological Sciences,,NA,NA,280,,535,570,,English,
8366,ref,occ,A.,Hallam,,,,1960,A sedimentary and faunal study of the Blue Lias of Dorset and Glamorgan,"Philosophical Transactions of the Royal Society, London",,NA,NA,243,,1,44,journal article,English,
