"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Austria","AUT","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19436.7643141948","20579.1380697249","21253.565007144","21692.1339747596","22600.3978997374","23653.6584154147","24516.6481229744","25418.1492199101","26674.5228277729","27606.4830303088","29387.0282969091","29715.5120369684","31178.6933297272","32109.1381163942","33743.1982822753","35013.7140443423","37616.7401636252","39389.6850087047","41316.225176699","40957.5007518995","42037.4904752225","44452.7327457999","46457.3457770311","47922.0491207455","48799.7154676985","49879.2664728545","52678.6606345863","54496.1636938075","56819.5983552502","58946.4215582161","",
"Azerbaijan","AZE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5360.07052928772","5417.78632966306","4224.43878663465","3275.4231841307","2650.26117585175","2359.21640181535","2409.19330605464","2567.98740352519","2829.5950940253","3055.92530702127","3442.63193225276","3836.59959060144","4233.44006351165","4716.3776118856","5245.42525100261","6850.8130192909","9387.1093489161","11957.3911716597","13200.9407059748","14248.8924609666","14926.6376401599","14804.5744507911","15957.718850285","17188.9455056612","17443.8782563093","14938.4011276715","14371.0227410092","14121.4069355591","14555.7967348653","15041.2572872965","",
"Burundi","BDI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","615.072101191288","652.532846204191","659.839925764089","621.036730836162","599.569208403046","555.367529299993","514.020275606553","509.357390721208","534.024025649783","529.283702385627","527.080874665839","537.359543541053","554.945261579519","541.764468251582","565.042350511691","569.274585188815","598.507676202816","615.230498671645","636.33218070318","644.104637287689","663.054795239364","681.971621284674","690.688140462063","740.984230793905","777.041557228105","841.646357215727","796.944387318245","773.571858394255","780.074937173306","784.92698867139","",
"Belgium","BEL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18653.7962467008","19565.2848294421","20235.1985983719","20435.4084492268","21479.0065740631","22405.3677968845","22703.9964514072","23724.2659333337","24368.4448609663","25440.8411888638","27794.9778610734","28800.3879346151","30282.2886450283","30899.0654242476","32034.0150753085","33177.8909458158","35216.6497097041","36752.9828470329","37883.3319417819","37785.8681727099","39866.7272663767","40942.372710454","42290.7620520019","43671.11959259","44929.685593416","46213.2665340101","48592.4848069059","50615.3658313943","52350.5179262208","54904.6690546729","",
"Benin","BEN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1259.5724477522","1312.12579914431","1334.47769810605","1396.08360281934","1405.70910959003","1472.63375260683","1516.00395789462","1581.94309212057","1614.63005034065","1675.2458002797","1759.7190754288","1837.804033868","1895.00043984543","1936.88122973309","2015.63750603099","2052.52833901543","2135.26273050304","2258.49187937982","2347.92270460712","2353.63420841093","2364.11835140337","2416.32710692027","2498.49731338005","2669.68982061252","2833.41192647339","2886.83186680607","3004.80918688439","3044.51388698516","3237.77368242688","3432.78130027653","",
"Burkina Faso","BFA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","589.95231037418","647.64993708343","646.309275000091","666.224316944746","670.850665495522","704.457870218515","774.654486538427","814.790179071446","859.734798552997","910.579949829086","921.93989158583","976.16104269113","1005.42974524315","1072.46739010723","1117.46543171577","1215.57371069015","1291.48551628409","1339.73840062214","1401.95772721485","1411.12752848048","1502.10346982341","1586.5715557449","1619.40001222911","1683.10741055173","1692.30439694524","1713.51937899955","1895.29221999772","2044.38187401171","2171.97396576064","2274.71973639652","",
"Bangladesh","BGD","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","850.505145162814","888.997510869191","937.573222594044","983.451280402914","1021.43109802513","1073.10439379196","1118.10107823243","1163.61734470825","1212.1882541056","1261.34465842112","1331.5485120908","1403.12629396308","1453.2621585652","1523.79742154496","1620.42501764464","1753.87460805199","1901.71652523808","2065.15484568738","2206.51032487304","2309.56360575548","2439.06967674104","2620.82248355375","2937.58845156683","3143.51835686654","3367.99552513598","3555.50551000354","3849.11143113288","4161.08971339052","4549.61764626729","4964.09138891893","",
"Bulgaria","BGR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7537.36341661992","7205.18450287332","6907.23053495755","7022.00729605934","7327.18055381389","7728.74755112875","6836.62872278597","5748.48197196103","6177.58614864324","5807.81610682049","6424.3971924283","6961.93692293589","7786.38655736833","8407.78546607404","9193.15647935813","10291.4704821245","11394.3456027194","12798.0929649571","14335.6964272794","14194.8060401419","14877.8501074104","15667.3738613269","16247.4780293328","16588.9474389951","17561.3040831591","18348.0245547966","19893.8583514201","21370.7826591284","22611.4091508938","24789.570010881","",
"Bahrain","BHR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26875.5966984858","30066.2630830926","31972.8907300901","36038.6315438943","35822.7573916555","37059.5152229699","38272.7883650202","39039.63475014","40104.8450975456","40910.6531106469","42181.842575706","42094.8831532141","41932.2413139236","42860.4822229522","44185.4450311188","45400.4952818813","46200.8768896083","47533.0885815341","47847.7869513782","46498.8041660429","46873.0988793635","47377.5724439003","50675.582035476","51494.4117178119","51101.9005266201","45575.8500160498","44769.0337127306","47709.8738136618","47353.1183775409","47002.5493359525","",
"Bahamas, The","BHS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19604.367247072","19063.783747684","18398.3802730164","18540.9977756653","19194.9566261197","20138.8588619128","21088.1952322704","22657.1379233253","23725.3793747341","26685.4272481873","28033.6844657628","28956.9495224663","29715.460962106","29362.6140772571","29869.3684009328","31260.7733458073","32401.588491035","33117.4705371396","32373.4588434814","30728.5238352345","31090.1140862815","31522.6050264014","32216.4319722829","31872.4900005633","33154.0049145014","33423.7087414326","34154.2584603014","36297.3070225153","37921.3111566006","38742.5457547658","",
"Bosnia and Herzegovina","BIH","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","953.135197103335","1208.52479544601","2365.33474756249","3258.11891544615","3810.54434381432","4226.44970800773","4549.07651807283","4751.13692602804","5136.51377391179","5373.2179220449","6200.65227470176","6479.67612096894","7405.05569365153","8188.0190458954","9028.82430307749","9037.34414705742","9354.55081498423","9976.49663652814","10304.0747456955","11016.5441876811","11433.162610045","12013.9203594249","12990.0158085513","13788.4820641796","14932.3821350976","15883.3198994359","",
