"reference_no","samp_country","aff_country"
69484,"USA","USA"
65691,"Italy","Hungary"
56740,"Myanmar (Burma)","China"
61132,"Greece","Switzerland"
61132,"Greece","Italy"
61132,"Greece","Argentina"
61132,"Greece","Greece"
61132,"Greece","Spain"
62828,"Argentina","Argentina"
57981,"China","China"
57981,"China","USA"
59892,"Myanmar (Burma)","China"
59892,"Myanmar (Burma)","USA"
60448,"Myanmar (Burma)","Taiwan"
60448,"Myanmar (Burma)","Australia"
60448,"Myanmar (Burma)","China"
58415,"Myanmar (Burma)","China"
58415,"Myanmar (Burma)","Lebanon"
58415,"Myanmar (Burma)","USA"
58415,"Myanmar (Burma)","France"
58737,"Myanmar (Burma)","China"
58737,"Myanmar (Burma)","Lebanon"
58737,"Myanmar (Burma)","USA"
58737,"Myanmar (Burma)","France"
59998,"Japan","Japan"
57605,"Brazil","Brazil"
56050,"Australia","Australia"
59731,"Sweden","Germany"
59731,"Sweden","Sweden"
59731,"Sweden","Belgium"
59731,"Sweden","France"
61172,"Myanmar (Burma)","China"
61172,"Myanmar (Burma)","UK"
61238,"Myanmar (Burma)","China"
61238,"Myanmar (Burma)","UK"
56281,"Spain","Poland"
56281,"Spain","Spain"
59268,"Russia","Poland"
59268,"Russia","Ukraine"
59071,"Myanmar (Burma)","Poland"
59071,"Myanmar (Burma)","Japan"
58481,"Spain","Poland"
58481,"Spain","Spain"
57155,"France","UK"
57203,"Lebanon","Russia"
57203,"Lebanon","France"
57203,"Lebanon","China"
57203,"Lebanon","Lebanon"
60125,"France","Russia"
60125,"France","France"
60708,"Germany","Germany"
56242,"UK","Poland"
56242,"UK","UK"
58913,"Lebanon","Germany"
58913,"Lebanon","China"
58913,"Lebanon","Lebanon"
58913,"Lebanon","France"
66613,"Morocco","Morocco"
66613,"Morocco","Russia"
66613,"Morocco","Germany"
70564,"USA","USA"
70564,"USA","Denmark"
67224,"Morocco","France"
67224,"Morocco","USA"
67224,"Morocco","Australia"
67224,"Morocco","Morocco"
67224,"Morocco","Spain"
