"reference_no","samp_country","aff_country"
53520,"Morocco","Morocco"
53520,"Morocco","France"
53520,"Morocco","Thailand"
44111,"Russia","Russia"
44111,"Russia","France"
59269,"China","China"
59269,"China","Thailand"
48472,"Argentina","Argentina"
49728,"Hungary","Hungary"
58016,"Hungary","Hungary"
46140,"Spain","Spain"
45696,"UK","UK"
50261,"USA","USA"
46777,"UK","UK"
44142,"Chile","Chile"
44142,"Chile","Argentina"
47947,"Aruba","Chile"
44141,"Argentina","Argentina"
55573,"France","Spain"
55573,"France","France"
44837,"Spain","Spain"
47963,"Spain","Spain"
47963,"Spain","UK"
44867,"Myanmar (Burma)","France"
44867,"Myanmar (Burma)","USA"
52101,"Panama","Panama"
52101,"Panama","USA"
52101,"Panama","Mexico"
52101,"Panama","Colombia"
